Brewery,Year Opened,Lat,Lon,Neighborhood,Average Yelp Rating,Brewery Website
Rivermen Brewing Co.,2016,35.244508,-81.035215,"BELMONT, NC",4,http://www.rivermenbrewingcompany.com/
York Chester Brewing Co.,2016,35.236798,-81.015675,"BELMONT, NC",5,http://www.yorkchesterbrew.com/
Cabarrus Brewing Company,2015,35.414007,-80.603076,"CONCORD, NC",4,http://www.cabarrusbrewing.com/
High Branch Brewing Co.,2015,35.414689,-80.603321,"CONCORD, NC",4.4,http://www.highbranchbrewing.com/
Twenty-Six Acres Brewing Co.,2016,35.388328,-80.723169,"CONCORD, NC",4,http://www.26acres.com/
Ass Clown Brewing Company,2011,35.457499,-80.854837,"CORNELIUS, NC",4.3,http://www.assclownbrewing.com/
Bayne Brewing Company,2014,35.480066,-80.891151,"CORNELIUS, NC",4.3,http://www.baynebrewingcompany.com/
D9 Brewing Co.,2013,35.461134,-80.847376,"CORNELIUS, NC",4.4,http://www.d9brewing.com/
Ole Dallas Brewing,2017,35.317144,-81.217984,"DALLAS, NC",,http://oledallasbrewery.com.s3-website-us-east-1.amazonaws.com/
Blue Blaze Brewing Co.,2016,35.240845,-80.867481,FREEMOREWEST,4.2,http://www.blueblazebrewing.com/
Cavendish Brewing Company,2017,35.265688,-81.187674,"GASTONIA, NC",,
Primal Brewery,2013,35.437142,-80.843673,"HUNTERSVILLE, NC",4,http://www.primalbrewery.com/
The Olde Mecklenburg Brewery,2009,35.187313,-80.88182,LOSO,4,http://www.oldemeckbrew.com/
Sugar Creek Brewing Company,2014,35.185386,-80.880982,LOSO,4.5,http://sugarcreekbrewing.com/
Thirsty Nomad Brewing Co.,2016,35.188497,-80.890911,LOSO,4,https://www.thirstynomadbrewing.com/
Barking Duck Brewing Company,2014,35.152373,-80.680012,"MINT HILL, NC",4,http://www.barkingduckbrew.com/
33 Brewing Company,2017,35.590274,-80.792221,"MOORESVILLE, NC",,http://www.33brewingcompany.com/
Ghostface Brewing,2016,35.579962,-80.804496,"MOORESVILLE, NC",4,http://www.ghostfacebrewing.com/
Lake Norman Brewing Company,2015,35.624467,-80.803463,"MOORESVILLE, NC",4.2,http://www.lakenormanbrewingcompany.com/
NoDa Brewing Company,2011,35.251579,-80.812408,NODA,4.4,http://nodabrewing.com/
Birdsong Brewing,2011,35.230617,-80.826515,NODA,4.4,https://birdsongbrewing.com/
Heist Brewery,2012,35.245433,-80.809429,NODA,3.6,https://heistbrewery.com/
Free Range Brewing,2015,35.240483,-80.813321,NODA,4,http://www.freerangebrewing.com/
Bold Missy Brewery,2017,35.249302,-80.796682,NODA,4.5,
Legion Brewing,2015,35.21833,-80.812958,PLAZA MIDWOOD,4.4,http://legionbrewing.com/
Three Spirits Brewery,2015,35.171804,-80.878652,SOUTH CHARLOTTE,4,http://www.threespiritsbrewery.com/
Sycamore Brewing,2014,35.208703,-80.862742,SOUTH END,4,
Wooden Robot Brewery,2015,35.216899,-80.857109,SOUTH END,4.2,https://woodenrobotbrewery.com/
Lenny Boy Brewing Co.,2016,35.201391,-80.873627,SOUTH END,4.1,http://www.discoverlennyboy.com/
Triple C Brewing Co.,2012,35.201066,-80.86957,SOUTH END,4.4,http://www.triplecbrewing.com/
The Unknown Brewing Co.,2011,35.220453,-80.857539,SOUTH END,4,www.unknownbrewing.com
Hyde Brewing Co.,2017,35.20055,-80.869258,SOUTH END,,
